ID,active_member,age,credit_score,estimated_salary,products_number,tenure,churn
0,0,26,700,50051.42,2,2,0
1,0,47,689,176188.79324462274,2,3,1
2,1,74,617,53949.98,2,10,0
3,0,35,585,13523.872357948663,1,4,1
4,0,50,702,94949.84,2,3,0
5,0,29,590,121846.81,2,4,0
6,0,27,769,171344.09,1,7,0
7,0,51,751,146411.41,1,7,1
8,1,32,688,177607.77,2,5,0
9,1,20,714,150465.93,2,3,0
10,0,46,568,133608.46068458736,1,8,1
11,0,41,687,158408.23,1,2,0
12,0,51,631,54704.911357166544,1,1,1
13,0,31,666,4050.57,1,2,0
14,0,44,739,156545.43563129552,1,5,1
15,0,34,433,19687.99,1,9,0
16,0,32,680,116957.6,1,5,0
17,1,23,850,62980.96,1,9,0
18,1,42,643,187538.5098027141,2,4,1
19,1,29,768,73686.75,2,2,0
20,0,49,581,132263.05300139033,1,8,1
21,0,40,707,189366.03,1,3,0
22,0,49,608,6704.852582228066,1,0,1
23,1,22,674,173940.59,1,3,0
24,1,45,559,169781.45,1,8,1
25,0,39,611,174921.91451876648,1,7,1
26,0,45,661,17339.428402780464,1,4,1
27,0,34,647,54259.358971597765,1,5,1
28,0,52,521,53793.1,3,5,1
29,0,42,603,144675.3,1,8,1
30,0,45,628,193903.06,2,8,0
31,0,50,761,185558.1257864468,1,0,1
32,1,62,547,85153.0,2,10,0
33,1,30,544,80676.83,1,8,0
34,1,65,778,77867.23,1,7,0
35,1,33,644,43943.09,1,7,0
36,0,47,750,54473.6,2,7,1
37,0,37,619,12787.272313467189,1,6,1
38,0,25,650,16649.31,3,3,1
39,1,35,771,130901.35965907988,2,1,1
40,0,51,421,170057.73749153418,1,4,1
41,1,28,499,22001.91,1,4,0
42,0,33,565,105642.43,2,8,0
43,1,36,574,8559.66,2,3,0
44,0,40,672,114187.94924179028,1,1,1
45,1,38,696,8018.49,1,6,0
46,1,29,681,52021.39,1,2,0
47,1,78,655,188435.38,2,2,0
48,0,29,593,34004.44,1,2,0
49,0,38,559,22582.258310452387,1,9,1
50,0,34,716,147724.34385729302,1,3,1
51,0,27,455,70774.97,2,5,0
52,0,33,630,92646.3433686676,1,0,1
53,1,37,705,13935.53,2,10,1
54,0,28,530,164532.7023089933,1,4,1
55,0,48,566,192544.4285269819,1,6,1
56,1,31,549,25684.85,2,4,0
57,1,53,693,62550.21827755901,2,7,1
58,0,28,644,29179.52,1,7,0
59,1,59,621,171364.18,2,2,0
60,1,55,576,94450.97,2,9,0
61,0,36,706,181006.2029273867,1,2,1
62,1,29,638,15336.4,1,9,0
63,0,56,524,127052.0725260186,1,5,1
64,0,49,627,109517.40665998872,1,3,1
65,1,30,613,175795.87,1,9,0
66,0,60,756,93524.19,1,3,1
67,0,41,416,98301.61,2,10,0
68,0,29,635,117173.8,2,2,0
69,1,53,707,52110.45,1,6,0
70,0,31,650,27073.81,2,1,0
71,1,37,776,8065.0,1,2,0
72,1,33,724,197148.24,1,9,0
73,0,43,712,45900.92159019676,1,8,1
74,1,71,624,108841.83,2,7,0
75,1,47,839,168184.62,1,2,1
76,0,45,487,103026.78894578308,1,5,1
77,0,45,622,122327.56486129806,1,7,1
78,0,51,677,56050.5696840896,1,7,1
79,0,30,702,126435.4187641761,1,4,1
80,0,47,557,125729.69955150824,1,8,1
81,1,37,667,67734.79,2,9,0
82,1,22,694,11525.72,2,4,0
83,0,53,785,160549.0042088206,1,2,1
84,1,36,657,123866.43,2,8,0
85,0,41,665,132152.32,2,8,0
86,0,47,593,170395.1719499804,2,5,1
87,1,40,583,5635.63,1,4,0
88,0,35,734,50043.38393172855,2,3,1
89,0,57,698,105715.01,2,9,0
90,1,40,673,3258.6,1,1,0
91,0,36,641,18639.0648434769,1,6,1
92,0,37,785,5339.737942020771,2,4,1
93,1,53,537,91406.62,1,3,0
94,1,32,629,77965.44,2,2,0
95,0,53,651,29069.03782850751,1,8,1
96,0,48,769,21997.781235518363,1,8,1
97,0,32,650,97813.01777445668,2,2,1
98,0,31,651,129912.74,2,7,0
99,1,34,477,189875.83,2,8,0
100,0,46,526,82486.41387704031,1,5,1
101,1,35,763,104706.29,2,7,0
102,0,46,800,171928.04,2,6,0
103,0,56,850,155850.4,1,1,1
104,1,41,498,12577.21,2,4,1
105,0,53,638,16657.68,1,1,1
106,0,60,678,192156.54,1,8,1
107,0,47,547,11215.746705163816,1,7,1
108,1,26,574,43093.67,1,8,0
109,0,48,652,164127.15667066193,1,5,1
110,1,53,685,19504.487202430537,2,1,1
111,1,32,478,110593.62,1,6,0
112,0,49,576,177580.1018287117,1,4,1
113,1,31,710,112289.06,2,3,0
114,0,41,612,56070.3794784764,2,5,1
115,1,51,599,175235.99,1,0,0
116,0,25,804,128276.95,1,7,0
117,1,29,631,18581.84,2,2,0
118,1,42,543,56650.47,1,7,0
119,0,44,811,176347.98776320036,2,6,1
120,1,29,731,162452.65,2,10,0
121,0,31,628,113167.17,1,6,1
122,1,40,689,119446.64,2,1,0
123,1,46,487,44244.49,2,4,1
124,0,56,695,187734.49,3,1,1
125,0,44,508,78226.17038037913,1,5,1
126,0,43,638,7771.615547308059,1,1,1
127,0,44,566,5167.604041349689,2,5,1
128,1,43,528,159823.16,2,7,0
129,0,45,474,172175.9,2,10,0
130,1,51,661,68021.9,1,6,0
131,1,51,615,169149.38,1,6,0
132,0,34,568,2545.126765411598,1,8,1
133,1,41,735,137180.95,1,7,0
134,0,44,636,86414.41,2,2,0
135,0,37,689,95040.51780260762,1,8,1
136,1,43,672,21712.932270113004,1,1,1
137,0,47,654,188045.8878423283,1,0,1
138,0,29,692,76755.99,1,4,1
139,1,36,744,182867.84,2,10,0
140,0,47,626,87620.45334795598,1,5,1
141,1,23,704,155823.2,1,6,0
142,0,37,790,98897.32,3,3,0
143,1,43,597,5104.08,1,2,1
144,0,35,703,167810.26,2,5,0
145,0,27,628,155996.96,2,5,0
146,0,44,488,110138.91777919709,1,7,1
147,0,39,622,38882.34,2,9,0
148,0,37,555,60194.05,1,9,0
149,1,61,445,29909.84,1,2,0
150,1,52,751,179291.85,2,8,0
151,0,52,790,148813.43614323542,1,1,1
152,0,24,704,35600.25,1,2,1
153,1,37,766,147700.78,2,2,0
154,0,39,562,9854.72,1,6,1
155,1,29,655,57002.57909861563,1,5,1
156,1,34,695,67502.12,2,9,0
157,1,44,497,79691.4,1,2,0
158,0,47,648,13078.343021700215,1,5,1
159,0,36,739,133465.57,2,0,0
160,0,39,750,19264.33,2,6,0
161,0,40,612,61394.961263752,1,1,1
162,1,58,671,21768.21,1,1,0
163,0,41,667,9822.19307054465,1,1,1
164,0,40,572,68057.21833331889,1,4,1
165,1,33,704,74804.36,2,0,0
166,1,47,569,116500.97395708102,1,9,1
167,1,35,643,41549.64,2,6,0
168,0,33,675,64815.05,1,0,1
169,0,27,607,63495.86,2,2,0
170,0,57,675,1195.4420470820069,1,8,1
171,0,43,738,64166.7,2,9,1
172,1,33,516,127256.7,1,10,0
173,1,54,608,141780.95677304137,1,6,1
174,0,35,675,52252.324043009176,1,7,1
175,1,35,741,72074.24264291224,1,6,1
176,0,52,518,54328.41607706068,1,1,1
177,1,51,685,110728.18049291274,1,2,1
178,0,42,480,138235.37885833,1,3,1
179,1,30,685,63082.88,1,3,0
180,1,42,695,72172.13,1,5,1
181,0,28,700,146723.72,2,3,0
182,1,32,596,146504.35,2,4,0
183,0,38,490,52735.11008115263,1,3,1
184,0,37,590,133535.99,2,1,0
185,0,51,647,54954.51,2,1,1
186,0,35,689,189411.9525036574,1,3,1
187,0,45,654,140674.9288791008,1,9,1
188,0,47,709,112381.94917503557,1,2,1
189,0,22,620,32589.45,1,0,0
190,1,36,656,21478.36,2,8,0
191,0,63,589,79016.33944551852,1,8,1
192,1,25,651,126761.2,2,8,0
193,1,51,350,125823.79,1,10,1
194,1,66,560,15928.49,1,9,0
195,1,38,591,119638.85,1,2,0
196,0,34,651,138113.71,2,9,0
197,0,33,712,3061.0,1,2,0
198,0,23,628,147227.59600142966,1,2,1
199,1,35,573,102986.15,2,9,0
200,0,24,696,10883.52,1,9,0
201,1,35,641,192464.21,1,2,1
202,1,38,558,152872.39,1,8,0
203,1,57,637,141792.14443060022,1,6,1
204,0,61,620,31641.52,1,5,1
205,0,29,635,141075.51,2,8,0
206,1,42,703,137316.32,1,9,0
207,1,38,612,193502.93,1,7,0
208,1,60,653,138160.11,4,2,1
209,1,39,609,175664.25,1,8,0
210,0,48,623,118855.26,1,1,1
211,0,55,617,148054.2914625882,1,1,1
212,1,58,591,137254.55,1,5,0
213,1,26,545,199638.56,2,1,0
214,0,35,588,94498.82,1,3,0
215,1,41,609,112585.19,1,6,0
216,0,29,755,4733.94,3,3,0
217,0,51,597,155785.45897042414,1,1,1
218,0,35,690,48478.47,2,9,0
219,0,52,501,109071.73612242009,1,3,1
220,0,46,749,78753.12,1,9,1
221,1,58,711,26767.85,2,9,0
222,0,26,510,159742.33,1,6,0
223,1,34,574,134691.2,1,7,0
224,1,65,681,190419.81,2,7,0
225,1,49,785,193948.0721191124,1,4,1
226,0,43,623,154908.52,2,4,0
227,0,34,492,182093.94496219468,1,4,1
228,0,44,632,118077.69249460848,3,5,1
229,1,29,776,115818.51,2,7,0
230,0,44,682,87545.00495892183,2,6,1
231,0,37,721,70810.8,2,1,0
232,0,52,517,8638.026624695754,1,6,1
233,0,45,715,190288.5317315463,1,9,1
234,1,30,630,10486.69,2,3,0
235,0,31,661,167023.2193406078,2,3,1
236,0,49,521,171744.6761129792,2,9,1
237,0,42,606,18696.816444020576,3,4,1
238,0,49,626,187192.23,2,9,0
239,0,35,639,170483.9,2,8,0
240,0,42,571,55558.51,3,4,1
241,1,35,636,23129.46,2,2,0
242,0,56,504,55857.48,1,9,1
243,0,44,643,157516.10272025238,1,4,1
244,0,28,592,39608.58,1,5,0
245,1,30,643,165614.4,1,5,0
246,0,47,552,143790.11287269965,1,6,1
247,0,38,741,58440.43,1,4,0
248,0,66,646,177119.93287715613,3,8,1
249,0,36,545,89587.34,2,8,1
250,0,71,434,125848.88,1,9,0
251,1,73,627,43615.67,1,0,0
252,1,71,624,73679.59,3,4,1
253,0,40,606,46774.94,2,6,0
254,1,36,606,155641.46,2,10,0
255,0,43,652,180869.1503795045,2,4,1
256,1,67,738,22762.23,1,1,0
257,0,38,610,180376.4905299449,1,6,1
258,0,44,709,59920.411071237424,1,7,1
259,0,46,688,166825.91247456268,1,9,1
260,0,20,636,100566.81,1,10,0
261,0,52,568,156085.3728102765,1,6,1
262,0,45,707,92931.17030666184,1,7,1
263,0,52,686,125281.83179085577,2,3,1
264,0,41,719,185861.7486388055,2,3,1
265,0,33,845,150664.97,1,8,0
266,1,40,795,183044.86,1,2,0
267,1,25,546,105279.74,2,7,0
268,0,49,783,153260.7763267462,1,4,1
269,0,41,574,126065.64609532202,1,0,1
270,0,30,571,8343.687856603363,1,5,1
271,0,54,781,161360.8463885213,1,2,1
272,1,49,774,8214.41,1,1,0
273,0,61,615,150227.85,2,9,1
274,0,34,786,144517.19,2,9,0
275,0,39,660,173683.0,1,5,1
276,1,31,850,33082.81,2,4,0
277,0,57,686,146977.30361643314,3,6,1
278,0,50,657,37171.46,2,9,0
279,0,42,660,24078.82719148365,1,6,1
280,1,39,788,113086.08,1,3,0
281,0,32,667,20560.69,1,0,0
282,0,24,686,53453.43687220095,1,2,1
283,0,55,645,114782.92766393044,1,3,1
284,0,46,757,37460.05,2,0,0
285,1,57,616,104379.36,1,7,0
286,1,48,555,79134.78,2,3,0
287,0,37,536,13058.408496108015,1,4,1
288,1,36,809,109135.11,2,9,0
289,0,26,609,98463.99,2,7,0
290,0,50,628,144366.83,1,8,1
291,0,54,516,177143.84523873046,1,8,1
292,0,43,522,153127.0622353552,2,8,1
293,1,29,673,9796.69,1,4,0
294,0,56,668,134396.64,1,9,1
295,0,53,656,188414.6419654852,2,1,1
296,1,24,660,71638.0,1,5,0
297,0,37,815,17123.2615587942,1,8,1
298,1,31,737,74890.58,2,5,0
299,1,29,684,79495.01,1,8,0
300,0,37,587,105574.735051527,1,2,1
301,0,44,662,139931.75775033503,1,7,1
302,1,25,711,9679.28,3,7,0
303,0,42,632,112769.32029740444,3,3,1
304,0,40,450,79064.81406961218,1,7,1
305,1,27,516,112311.15,1,1,0
306,0,44,555,60533.96,3,3,1
307,1,27,850,26265.18,2,1,0
308,0,39,579,5831.0,3,5,1
309,0,46,614,112576.54312939804,2,5,1
310,0,30,595,185083.03738367264,2,4,1
311,1,39,621,58883.91,2,6,0
312,0,37,655,79555.08,1,4,1
313,1,41,649,144808.37,1,3,0
314,0,46,790,139266.48,1,8,1
315,1,36,443,56937.43,2,6,0
316,1,63,718,100538.8,1,7,0
317,0,61,547,19015.142405545157,1,3,1
318,0,44,661,68211.01416484719,1,1,1
319,0,43,655,156001.83463274682,2,5,1
320,0,23,627,103099.22,1,5,0
321,1,25,673,103573.96,2,3,0
322,0,49,680,109993.16953117172,1,2,1
323,0,28,559,64242.31,1,3,0
324,0,48,589,114200.01677525438,1,5,1
325,1,54,724,136902.01,1,8,0
326,0,52,574,172788.05774109092,1,4,1
327,0,40,669,134586.0881769278,1,3,1
328,0,40,653,35795.85,2,0,0
329,1,33,576,190112.05,2,3,0
330,0,48,524,148791.8916096259,1,5,1
331,0,42,553,23822.04,2,1,0
332,0,30,627,188258.49,1,6,0
333,0,46,727,130752.01,4,3,1
334,1,43,638,142763.51,1,3,1
335,1,33,530,172930.28,1,4,0
336,0,50,674,56671.025789939085,1,8,1
337,0,46,692,124593.55006245464,1,7,1
338,0,31,756,61666.87,1,10,0
339,0,22,597,70529.0,1,6,1
340,1,26,466,137476.09,1,3,0
341,0,48,721,67889.08731005098,1,4,1
342,0,46,766,24413.53579544225,1,3,1
343,0,49,606,79715.37312473077,2,6,1
344,1,74,733,134589.58,1,3,0
345,0,34,786,117034.32,2,9,0
346,1,51,591,161304.68,1,8,1
347,1,54,696,22138.336920720794,1,9,1
348,0,39,644,59804.282187393845,1,0,1
349,0,37,608,173434.1544298826,1,6,1
350,1,20,767,150135.38,2,3,0
351,1,20,703,41626.78,1,3,0
352,0,31,605,61267.17581923456,1,4,1
353,0,45,560,54506.378097859255,1,4,1
354,1,35,683,182566.76,1,5,0
355,1,30,470,50906.65,1,3,0
356,0,31,641,59927.99,1,3,0
357,0,47,811,171995.34,2,3,0
358,0,28,718,28760.99,1,4,0
359,0,62,706,145954.8156113562,2,3,1
360,1,39,769,47722.79,1,9,0
361,0,50,669,184298.29151592223,1,3,1
362,0,60,679,159375.95142485772,2,9,1
363,1,43,686,170072.9,1,0,0
364,0,43,699,132192.60478922847,1,2,1
365,1,52,693,68753.02715165917,1,7,1
366,1,30,709,161388.22,2,5,0
367,1,22,571,53328.7,1,3,0
368,0,58,846,26095.620153387244,1,8,1
369,0,46,753,90747.94,3,8,1
370,0,52,614,4585.383154965953,1,4,1
371,0,50,626,145551.79757192993,1,7,1
372,0,46,589,170676.67,2,9,0
373,0,33,704,27253.218548207707,1,2,1
374,0,46,555,58485.26054943318,2,0,1
375,0,44,567,88109.66032925136,1,7,1
376,0,36,495,19720.337041221497,1,4,1
377,0,50,659,183399.12,1,3,1
378,1,26,555,158918.03,2,9,0
379,1,35,778,131238.37,3,1,1
380,0,41,586,133077.3847793909,2,9,1
381,1,49,504,87822.14,3,7,1
382,0,31,757,192519.39,2,10,0
383,0,48,659,190163.95032156183,1,4,1
384,1,30,666,74849.46,1,3,0
385,1,29,699,151623.71,1,3,0
386,1,47,621,133831.37,1,0,1
387,0,53,611,1235.49,1,3,0
388,0,49,718,184474.72,1,10,1
389,1,28,600,52193.23,2,6,0
390,1,48,768,24533.89,1,3,1
391,0,44,700,175205.56331820058,1,4,1
392,1,58,570,116503.92,1,8,1
393,0,35,594,103480.69,2,2,0
394,1,30,701,165652.45884809314,1,8,1
395,1,42,704,179565.57,2,8,0
396,1,40,425,172646.88,2,9,0
397,1,55,745,51548.14,1,9,1
398,0,39,603,54702.66,2,5,0
399,0,54,404,83715.66,1,4,1
400,0,56,655,5214.189639281614,1,1,1
401,0,35,630,185241.8618453768,1,5,1
402,0,31,621,17708.653197435673,2,4,1
403,0,45,640,195123.94,1,8,0
404,0,42,714,180637.27341623505,1,4,1
405,1,52,799,89081.41,1,4,0
406,1,58,633,132034.13,1,6,0
407,0,43,646,61937.6,1,8,0
408,0,33,711,41590.4,1,1,0
409,0,69,675,157097.09,2,1,0
410,1,31,693,182270.88,2,1,0
411,0,30,659,40441.1,1,8,0
412,0,63,634,30772.86,2,10,1
413,1,32,736,79082.62,1,7,0
414,1,26,674,149369.41,1,6,0
415,0,46,584,120376.87,2,6,1
416,0,54,676,157511.61941064772,1,1,1
417,0,25,711,51345.39,1,5,1
418,1,35,501,13591.52,1,6,0
419,0,29,542,8342.35,1,9,0
420,0,49,627,173478.9620020652,1,3,1
421,1,45,530,190663.89,1,1,1
422,1,72,783,105206.48,2,5,0
423,0,29,693,197145.89,1,2,0
424,1,61,705,191313.7,2,4,0
425,1,34,613,41724.72,1,3,0
426,0,38,781,63218.85,2,3,0
427,0,40,612,88212.91489531574,1,7,1
428,1,36,770,105922.69,1,2,0
429,1,33,630,170085.48490527665,1,4,1
430,1,47,640,13783.77,2,6,1
431,0,34,675,28751.31657393787,3,5,1
432,1,34,828,81853.98,2,9,0
433,1,37,694,33326.71,1,10,0
434,0,53,773,47601.490155833424,1,6,1
435,1,40,693,161361.60333518955,1,9,1
436,1,57,707,164064.44,1,1,1
437,0,42,471,190531.77,1,3,0
438,0,35,753,18254.75,2,5,0
439,0,45,667,157348.23216492642,1,2,1
440,1,29,631,31613.35,2,2,0
441,0,50,658,52137.73,2,2,0
442,1,29,687,113050.92,1,7,0
443,0,35,767,144251.38,2,2,0
444,1,51,605,165574.54,1,9,1
445,0,56,593,190521.8247124383,1,6,1
446,1,37,611,161064.29,2,1,0
447,1,30,752,104991.28,2,3,0
448,0,50,596,185041.7506492897,1,2,1
449,0,36,654,12873.39,1,2,0
450,0,44,624,94173.20607998948,1,8,1
451,0,37,588,139607.61,2,7,0
452,0,49,629,183916.60229539324,1,0,1
453,0,25,685,53976.22462280184,1,1,1
454,0,47,715,173474.64835008245,1,6,1
455,1,35,637,84760.7,2,8,0
456,1,24,812,156906.15,2,10,0
457,0,33,562,111590.35,2,6,0
458,1,55,783,93198.54832335956,3,3,1
459,1,53,724,12913.92,2,1,0
460,0,52,714,72449.66706918427,1,1,1
461,1,49,437,166440.32,2,9,0
462,0,37,693,106896.367778204,2,5,1
463,0,25,736,136497.28,2,9,0
464,0,42,822,31438.09733958105,1,3,1
465,0,48,581,181239.4608091448,1,1,1
466,1,29,549,189558.44,2,8,0
467,1,47,601,96517.97,2,1,0
468,1,71,576,193135.25,1,6,1
469,0,46,643,106781.59,2,6,0
470,0,50,484,48170.57,2,2,0
471,0,38,681,53308.51756729245,1,0,1
472,1,36,785,61811.1,1,2,0
473,1,39,738,114388.98,2,5,0
474,0,41,735,176891.0551320094,1,0,1
475,0,49,731,177528.7906002179,1,6,1
476,1,48,623,158590.25,1,5,0
477,0,32,601,86957.42,1,8,0
478,0,56,726,125958.14086878648,1,4,1
479,1,30,600,21852.91,1,2,0
480,0,48,654,74961.90567339897,1,8,1
481,0,32,627,106851.7,1,1,0
482,1,47,604,47777.15,1,4,1
483,1,29,616,166984.44,1,9,0
484,1,48,605,133486.36,1,10,0
485,0,46,694,168006.73153776,1,2,1
486,0,34,696,17193.55484957363,1,3,1
487,1,25,550,184221.11,2,0,0
488,0,28,733,12761.16,2,5,0
489,1,37,684,52367.29,2,4,0
490,1,41,704,43117.1,2,4,0
491,1,39,492,71323.23,2,7,0
492,1,33,731,74945.11,2,4,0
493,0,34,660,9692.58,2,1,0
494,0,42,609,192404.5579224784,1,6,1
495,0,37,711,66818.54375148646,1,5,1
496,0,32,590,100717.54,1,0,0
497,0,56,774,52404.27336609205,1,1,1
498,1,34,746,183494.87,2,6,0
499,1,37,641,39016.43,2,7,0
500,1,51,541,110319.28783571471,2,3,1
501,1,45,646,57236.44,1,3,0
502,0,60,845,184971.6235960719,1,7,1
503,1,48,676,14152.15,2,1,0
504,1,31,738,18606.23,1,9,0
505,0,44,619,134899.77055434012,1,7,1
506,0,39,819,27046.46,1,9,1
507,1,32,587,130514.78,2,3,0
508,0,30,477,194144.45,1,6,0
509,1,35,754,9658.41,2,4,0
510,0,47,530,120120.31175349232,1,5,1
511,1,28,645,150011.83987760337,1,5,1
512,1,61,758,43982.41,2,2,0
513,0,40,743,94876.65,1,8,0
514,0,47,618,133744.51856081036,1,0,1
515,0,45,597,167756.45,2,7,0
516,0,38,647,20154.23913415816,1,6,1
517,1,37,779,6589.16,1,2,1
518,0,44,760,107812.19842888926,1,7,1
519,0,23,781,173843.21,1,2,0
520,0,46,745,145971.77584963333,3,2,1
521,1,52,533,194113.99,1,7,1
522,1,45,850,19482.5,1,2,0
523,1,72,673,111981.19,2,1,0
524,1,28,777,118313.38,1,2,0
525,1,52,625,67788.49,1,5,0
526,0,35,757,34941.375358771045,1,0,1
527,0,22,750,128643.35,1,3,1
528,0,45,482,72643.95,1,7,1
529,1,63,523,119404.63,1,6,0
530,0,42,757,60636.02907498428,1,7,1
531,0,50,608,93568.77,1,6,1
532,0,37,658,70370.24,2,3,0
533,0,46,710,166586.99,1,10,1
534,0,36,625,41295.1,2,3,1
535,0,34,621,47972.65,1,8,0
536,1,37,592,3232.82,1,3,0
537,0,42,504,135178.91,2,3,0
538,0,38,850,9015.07,2,2,0
539,0,38,597,41303.29,2,1,0
540,0,40,645,132778.69170755005,1,2,1
541,0,59,593,190797.14256094236,1,7,1
542,0,41,547,197988.8043608184,1,7,1
543,0,42,790,198182.73,1,1,0
544,1,36,850,62722.44,1,0,0
545,1,33,580,45805.980254988746,1,6,1
546,0,50,629,54310.13622053301,1,7,1
547,1,41,579,9201.53,1,0,0
548,0,34,519,68479.6,1,5,0
549,0,26,508,156424.4,1,7,0
550,0,54,710,28771.130423318744,1,3,1
551,0,38,711,68487.51,2,3,0
552,1,40,554,168780.04,1,4,0
553,1,37,676,169577.15273001895,1,5,1
554,0,26,725,133720.57,1,6,0
555,1,27,559,1050.33,1,1,0
556,0,66,778,21926.061090772157,1,8,1
557,0,43,670,84542.18345550758,1,3,1
558,0,44,573,107124.17,2,9,0
559,0,22,829,152107.93,1,7,1
560,1,62,736,118048.61956725024,1,1,1
561,1,50,700,46622.84007913632,2,8,1
562,0,46,595,48421.4,2,5,1
563,0,35,753,176804.49896948508,1,1,1
564,0,36,729,177130.33,2,8,0
565,0,34,726,14121.61,2,9,0
566,0,43,551,74260.88361217063,1,3,1
567,1,55,691,178245.01392074034,1,1,1
568,0,30,637,65618.01,2,6,0
569,0,28,821,46072.52,2,2,0
570,0,47,700,174354.39805839007,1,5,1
571,1,37,677,117946.3,1,3,0
572,0,59,580,108530.35879496834,1,5,1
573,0,52,691,175843.68,1,3,1
574,1,58,527,126144.96,1,3,0
575,0,62,608,175836.03,1,8,1
576,0,28,579,145558.42,1,6,0
577,1,38,622,110457.99,1,4,0
578,0,41,646,123085.98390348352,1,1,1
579,1,33,779,197000.92,1,1,1
580,0,31,561,148672.30185820517,1,5,1
581,0,49,645,162012.6,2,8,0
582,1,43,542,10350.74,1,8,0
583,0,37,648,57215.85,2,7,0
584,1,28,628,176750.81,2,4,0
585,0,38,700,1299.75,1,8,0
586,0,34,697,160165.1415297243,1,6,1
587,0,47,590,115536.72619618464,1,3,1
588,0,52,489,37240.11,1,1,1
589,0,51,691,94449.24093575534,1,4,1
590,0,25,806,18461.9,2,7,0
591,1,31,579,139048.0,1,9,0
592,0,53,664,186392.99,1,7,1
593,0,37,645,76507.55425261646,1,6,1
594,0,47,756,24101.586767785186,1,3,1
595,0,48,594,76309.51898868714,2,7,1
596,1,67,689,99490.01,1,9,0
597,1,49,565,89609.26,2,7,0
598,0,27,813,46422.46,1,6,0
599,1,31,553,89087.4,2,4,0
